what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1414574964475
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1414574964483
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1414574968330
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1414574980989
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1414574987531
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1414575016098
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1414575016366
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1414575017522
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1414575017894
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1414575017896
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1414575017899
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1414575017903
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1414575017904
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1414575017904
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1414575017905
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1414575017905
stopped,bundle,com.objectaid.uml.addon.cls,1.1.6,"com.objectaid.uml.addon.cls",1414575017906
stopped,bundle,com.objectaid.uml.addon.java,1.1.6,"com.objectaid.uml.addon.java",1414575017963
stopped,bundle,com.objectaid.uml.addon,1.1.6,"com.objectaid.uml.addon",1414575017964
stopped,bundle,com.objectaid.uml.cls.java,1.1.6,"com.objectaid.uml.cls.java",1414575018001
stopped,bundle,com.objectaid.uml.cls,1.1.6,"com.objectaid.uml.cls",1414575018002
stopped,bundle,com.objectaid.uml.seq.java,1.1.6,"com.objectaid.uml.seq.java",1414575018053
stopped,bundle,com.objectaid.uml.java,1.1.6,"com.objectaid.uml.java",1414575018061
stopped,bundle,com.objectaid.uml.seq,1.1.6,"com.objectaid.uml.seq",1414575018063
stopped,bundle,com.objectaid.uml,1.1.6,"com.objectaid.uml",1414575018063
stopped,bundle,org.eclipse.emf.cheatsheets,2.5.0.v20100521-1846,"org.eclipse.emf.cheatsheets",1414575018064
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,22.6.3.v201404151837-1123206,"overlay.com.android.ide.eclipse.adt.overlay",1414575018082
stopped,bundle,com.android.ide.eclipse.adt,22.6.3.v201404151837-1123206,"com.android.ide.eclipse.adt",1414575018082
stopped,bundle,org.eclipse.emf.teneo.hibernate.eclipse,1.1.2.v201006151458,"org.eclipse.emf.teneo.hibernate.eclipse",1414575018083
stopped,bundle,org.eclipse.emf.teneo.orm.eclipse,1.0.0.v201006151458,"org.eclipse.emf.teneo.orm.eclipse",1414575018084
stopped,bundle,org.eclipse.emf.teneo.eclipse,1.1.2.v201006151458,"org.eclipse.emf.teneo.eclipse",1414575018084
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1414575018085
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1414575018086
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20110516,"org.eclipse.pde.ds.ui",1414575018087
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110819-0851,"org.eclipse.pde.runtime",1414575018087
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110516,"org.eclipse.pde.ui.templates",1414575018089
stopped,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1414575018089
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1414575018090
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1414575018090
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1414575018091
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1414575018093
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1414575018093
stopped,bundle,org.eclipse.jwt.we.example,1.1.0.v201106090801,"org.eclipse.jwt.we.example",1414575018093
stopped,bundle,org.eclipse.jwt.branding,1.1.0.v201106090801,"org.eclipse.jwt.branding",1414575018093
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1414575018183
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1414575018184
stopped,bundle,org.eclipse.help.base,3.6.1.v201109091335,"org.eclipse.help.base",1414575018184
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1414575018185
stopped,bundle,org.eclipse.m2e.core.ui,1.0.100.20110804-1717,"org.eclipse.m2e.core.ui",1414575018186
stopped,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1414575018186
stopped,bundle,org.eclipse.stp.policy.wtp.editor,1.0.0.201006151053,"org.eclipse.stp.policy.wtp.editor",1414575018187
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.403.v201108240515,"org.eclipse.wst.wsdl.ui",1414575018188
stopped,bundle,org.eclipse.wst.ws.ui,1.1.200.v201004211805,"org.eclipse.wst.ws.ui",1414575018190
stopped,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1414575018190
stopped,bundle,org.eclipse.wst.ws.parser,1.0.403.v201004211805,"org.eclipse.wst.ws.parser",1414575018191
stopped,bundle,org.eclipse.emf.teneo.eclipselink.ui,1.0.0.v201006151458,"org.eclipse.emf.teneo.eclipselink.ui",1414575018193
stopped,bundle,org.eclipse.emf.teneo.eclipselink,1.0.0.v201006151458,"org.eclipse.emf.teneo.eclipselink",1414575018193
stopped,bundle,org.eclipse.stp.policy.wtp.validation,1.0.0.201006151053,"org.eclipse.stp.policy.wtp.validation",1414575018193
stopped,bundle,org.eclipse.wst.wsdl,1.2.202.v201108230355,"org.eclipse.wst.wsdl",1414575018194
stopped,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1414575018195
